SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON_YEAR
22015,1610612747,LAL,Los Angeles Lakers,0021500244,2015-11-28,LAL @ POR,L,239,96,36,82,0.439,7,23,0.304,17,23,0.739,6,27,33,20,12,2,9,19,-12.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500214,2015-11-24,LAL @ GSW,L,241,77,31,83,0.373,3,21,0.143,12,16,0.75,8,37,45,16,8,2,14,15,-34.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500201,2015-11-22,LAL vs. POR,L,240,93,32,88,0.364,6,18,0.333,23,27,0.852,15,36,51,17,2,6,10,12,-14.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500188,2015-11-20,LAL vs. TOR,L,240,91,35,77,0.455,8,25,0.32,13,17,0.765,9,32,41,21,8,4,15,18,-11.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500157,2015-11-16,LAL @ PHX,L,240,101,37,77,0.481,9,20,0.45,18,20,0.9,7,30,37,12,5,2,16,23,-19.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500151,2015-11-15,LAL vs. DET,W,240,97,31,75,0.413,6,19,0.316,29,39,0.744,7,39,46,24,5,5,16,19,12.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500135,2015-11-13,LAL @ DAL,L,239,82,29,88,0.33,9,27,0.333,15,18,0.833,15,42,57,18,10,7,20,27,-8.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500114,2015-11-11,LAL @ ORL,L,240,99,39,79,0.494,7,22,0.318,14,18,0.778,7,36,43,25,5,7,13,11,-2.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500108,2015-11-10,LAL @ MIA,L,240,88,34,77,0.442,11,22,0.5,9,12,0.75,5,31,36,21,7,7,17,21,-13.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500095,2015-11-08,LAL @ NYK,L,240,95,36,94,0.383,9,27,0.333,14,23,0.609,12,34,46,19,7,3,9,20,-4.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500077,2015-11-06,LAL @ BKN,W,241,104,33,78,0.423,7,23,0.304,31,40,0.775,5,35,40,14,9,6,15,22,6.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500059,2015-11-03,LAL vs. DEN,L,238,109,36,86,0.419,6,26,0.231,31,38,0.816,11,29,40,18,9,4,10,28,-11.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500045,2015-11-01,LAL vs. DAL,L,239,93,31,85,0.365,10,34,0.294,21,28,0.75,8,34,42,18,8,9,12,20,-10.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500031,2015-10-30,LAL @ SAC,L,240,114,41,89,0.461,11,34,0.324,21,27,0.778,8,29,37,20,7,9,19,24,-18.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500017,2015-10-28,LAL vs. MIN,L,240,111,35,90,0.389,9,34,0.265,32,35,0.914,12,36,48,18,2,4,13,29,-1.0,2015
22014,1610612747,LAL,Los Angeles Lakers,0021401230,2015-04-15,LAL vs. SAC,L,240,99,36,94,0.383,7,24,0.292,20,25,0.8,16,30,46,22,6,8,14,28,-23.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021401211,2015-04-13,LAL @ SAC,L,240,92,40,96,0.417,4,15,0.267,8,13,0.615,17,32,49,19,8,3,11,26,-10.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021401201,2015-04-12,LAL vs. DAL,L,239,106,34,78,0.436,9,24,0.375,29,36,0.806,6,31,37,20,4,4,12,20,-14.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021401186,2015-04-10,LAL vs. MIN,W,242,106,41,83,0.494,9,23,0.391,15,24,0.625,14,32,46,35,6,2,12,22,8.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021401169,2015-04-08,LAL @ DEN,L,239,101,36,75,0.48,5,16,0.313,24,35,0.686,9,30,39,15,7,2,14,20,-18.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021401159,2015-04-07,LAL @ LAC,L,241,100,35,84,0.417,9,25,0.36,21,27,0.778,8,35,43,24,2,1,11,25,-5.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021401153,2015-04-05,LAL vs. LAC,L,240,78,29,75,0.387,7,17,0.412,13,22,0.591,14,27,41,17,3,3,17,18,-28.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021401136,2015-04-03,LAL vs. POR,L,242,77,31,82,0.378,5,14,0.357,10,17,0.588,6,37,43,13,4,6,11,10,-30.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021401123,2015-04-01,LAL vs. NOP,L,239,92,37,83,0.446,5,16,0.313,13,21,0.619,12,23,35,22,4,2,5,17,-21.0,2014
22014,1610612747,LAL,Los Angeles Lakers,0021401102,2015-03-30,LAL @ PHI,W,266,113,40,82,0.488,10,21,0.476,23,30,0.767,12,33,45,27,7,10,17,26,2.0,2014
